file_a,id_a,class_a,file_b,id_b,class_b,same_class,phash_dist,ahash_dist
group1_15.png,group1_15,1,group2_34.png,group2_34,2,False,54,15
group1_8.png,group1_8,1,group2_41.png,group2_41,2,False,56,43
group1_25.jpg,group1_25,1,group2_3.png,group2_3,2,False,58,37
group1_25.jpg,group1_25,1,group1_4.png,group1_4,1,True,60,27
group1_15.png,group1_15,1,group2_41.png,group2_41,2,False,62,51
group2_15.png,group2_15,2,group2_26.png,group2_26,2,True,62,42
group2_29.png,group2_29,2,group2_9.png,group2_9,2,True,64,61
group1_25.jpg,group1_25,1,group2_19.png,group2_19,2,False,66,31
group1_9.png,group1_9,1,group2_9.png,group2_9,2,False,66,27
group2_24.png,group2_24,2,group2_9.png,group2_9,2,True,66,52
group2_4.png,group2_4,2,group2_41.png,group2_41,2,True,66,56
group1_15.png,group1_15,1,group2_6.png,group2_6,2,False,68,44
group2_14.png,group2_14,2,group2_43.png,group2_43,2,True,68,64
group2_18.png,group2_18,2,group2_41.png,group2_41,2,True,68,42
group2_22.png,group2_22,2,group2_6.png,group2_6,2,True,68,85
group2_22.png,group2_22,2,group2_9.png,group2_9,2,True,68,60
group2_6.png,group2_6,2,group2_9.png,group2_9,2,True,68,45
group1_14.png,group1_14,1,group2_26.png,group2_26,2,False,70,42
group2_11.png,group2_11,2,group2_27.png,group2_27,2,True,70,50
group2_19.png,group2_19,2,group4_22.jpg,group4_22,4,False,70,106
group2_22.png,group2_22,2,group2_41.png,group2_41,2,True,70,60
group2_29.png,group2_29,2,group2_6.png,group2_6,2,True,70,76
group3_20.png,group3_20,3,group3_21.png,group3_21,3,True,70,41
group1_19.jpg,group1_19,1,group2_19.png,group2_19,2,False,72,50
group1_24.jpg,group1_24,1,group2_19.png,group2_19,2,False,72,23
group1_26.jpg,group1_26,1,group4_25.jpg,group4_25,4,False,72,59
group1_4.png,group1_4,1,group2_19.png,group2_19,2,False,72,30
group2_11.png,group2_11,2,group2_26.png,group2_26,2,True,72,84
group2_11.png,group2_11,2,group3_21.png,group3_21,3,False,72,85
group2_24.png,group2_24,2,group2_29.png,group2_29,2,True,72,51
group2_24.png,group2_24,2,group2_6.png,group2_6,2,True,72,79
group2_26.png,group2_26,2,group3_21.png,group3_21,3,False,72,15
group2_34.png,group2_34,2,group2_41.png,group2_41,2,True,72,52
group1_24.jpg,group1_24,1,group2_4.png,group2_4,2,False,74,34
group1_25.jpg,group1_25,1,group2_14.png,group2_14,2,False,74,43
group2_13.png,group2_13,2,group2_5.png,group2_5,2,True,74,43
group2_15.png,group2_15,2,group2_7.png,group2_7,2,True,74,35
group2_26.png,group2_26,2,group3_9.jpg,group3_9,3,False,74,73
group2_27.png,group2_27,2,group2_33.png,group2_33,2,True,74,17
group1_19.jpg,group1_19,1,group2_25.png,group2_25,2,False,76,35
group1_3.png,group1_3,1,group2_30.png,group2_30,2,False,76,19
group1_8.png,group1_8,1,group2_4.png,group2_4,2,False,76,73
group2_11.png,group2_11,2,group2_15.png,group2_15,2,True,76,50
group2_18.png,group2_18,2,group2_44.png,group2_44,2,True,76,48
group2_19.png,group2_19,2,group2_3.png,group2_3,2,True,76,46
group2_19.png,group2_19,2,group2_44.png,group2_44,2,True,76,75
